bj_f_rank|bj_name|bj_id|bj_rank_all|bj_follower|bj_swatch|bj_last_time|bj_last_visit|bj_last_up|bj_info_bs|bj_url|img
314|+Bj매점+|ann1290|161위|953|31,642|2014-01-01|2017-10-04 00:00|53 (7,633)|수다방 / 고민상담 / 토크방송 / 신청곡 / 먹방|http://www.afreecatv.com/ann1290|http://stimg.afreecatv.com/LOGO/an/ann1290/ann1290.jpg
315|♡곤쥬마마♡|flow9421|772위|3,315|516,039|2017-05-02|2017-10-03 16:24|27 (46,766)|한번 들어오면 못나간다능. (비장)|http://www.afreecatv.com/flow9421|http://stimg.afreecatv.com/LOGO/fl/flow9421/flow9421.jpg
316|BJ랑♡|wdg2546|528위|5,427|134,803|2017-01-02|2017-10-03 19:04|39 (30,812)|2017.05.19 ~ing♥|http://www.afreecatv.com/wdg2546|http://stimg.afreecatv.com/LOGO/wd/wdg2546/wdg2546.jpg
317|꼬희♥|gg2222|1,049위|11,694|640,275|2016-01-27|2017-10-04 00:00|74 (125,797)|오후 9.10시부터 방송시작~♥|http://www.afreecatv.com/gg2222|http://stimg.afreecatv.com/LOGO/gg/gg2222/gg2222.jpg
318|텔라♥|tellatella|495위|2,831|72,430|2015-10-30|2017-10-04 10:07|43 (17,011)|텔라의  종합방송국|http://www.afreecatv.com/tellatella|http://stimg.afreecatv.com/LOGO/te/tellatella/tellatella.jpg
319|청이。|codk123|1,065위|11,146|2,621|2003-08-19|2017-10-02 19:28|47 (200,561)| 나로인해 당신이 행복하기를..♥|http://www.afreecatv.com/codk123|http://stimg.afreecatv.com/LOGO/co/codk123/codk123.jpg
320|도유♥|doyouq3|143위|2,271|67,981|2017-04-19|2017-10-04 02:42|144 (15,168)|날 사랑하게 될 걸? 다만 좀 이상할 수 있어...데헷|http://www.afreecatv.com/doyouq3|http://stimg.afreecatv.com/LOGO/do/doyouq3/doyouq3.jpg
321|호상희|ghtkdgml|141위|1,560|46,598|2016-08-24|2017-10-03 18:50|28 (11,422)|신입 여캠 호상희 열심히 할게요~|http://www.afreecatv.com/ghtkdgml|http://stimg.afreecatv.com/LOGO/gh/ghtkdgml/ghtkdgml.jpg
322|♡주나♡|jizzang|742위|2,526|78,320|2016-11-25|2017-10-04 00:00|63 (19,397)|ㄴㅏ는 ㄴㅏ다|http://www.afreecatv.com/jizzang|http://stimg.afreecatv.com/LOGO/ji/jizzang/jizzang.jpg
322|양귀비=♥|ygb1984|1,242위|29,730|3,472|2010-03-30|2017-10-03 18:02|50 (330,355)|소통.먹방.야외방송.힐링방송이예욤(20160615~)|http://www.afreecatv.com/ygb1984|http://stimg.afreecatv.com/LOGO/yg/ygb1984/ygb1984.jpg
324|♥뿌링뿌링♥|joyjoyhk88|1,028위|3,967|224,586|2015-06-19|2017-10-04 00:00|42 (35,423)|뿌링월드|http://www.afreecatv.com/joyjoyhk88|http://stimg.afreecatv.com/LOGO/jo/joyjoyhk88/joyjoyhk88.jpg
325|BJ신비루|pmire20|179위|967|10,861|2016-05-11|2017-10-02 00:11|79 (9,343)|신비루 TV|http://www.afreecatv.com/pmire20|http://stimg.afreecatv.com/LOGO/pm/pmire20/pmire20.jpg
326|BJ우사기짱|tkdal5013|1,666위|2,672|371,188|2013-12-21|2017-10-04 00:06|38 (34,856)|아줌마소통방송 카톡tkdal777|http://www.afreecatv.com/tkdal5013|http://stimg.afreecatv.com/LOGO/tk/tkdal5013/tkdal5013.jpg
327|Bj씽잉|ahrum0912|192위|10,459|258,926|2016-05-01|2017-10-03 17:35|269 (104,801)|♥|http://www.afreecatv.com/ahrum0912|http://stimg.afreecatv.com/LOGO/ah/ahrum0912/ahrum0912.jpg
328|♥시링♥|hansil1|1,049위|47,426|5,318|2007-07-26|2017-09-30 22:44|67 (526,825)|발랄한 시링방송국에 오신걸 환영합니다~^.^|http://www.afreecatv.com/hansil1|http://stimg.afreecatv.com/LOGO/ha/hansil1/hansil1.jpg
329|채솔♥|yma7808|160위|962|32,393|2016-04-22|2017-10-03 00:00|30 (7,210)|2017.08.08~|http://www.afreecatv.com/yma7808|http://stimg.afreecatv.com/LOGO/ym/yma7808/yma7808.jpg
